Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Weight Unit,Cost per item,Status
harrison,Harrison,<p>Product details coming soon.</p>,Irish Family Surnames,,General,"imported, unlisted",false,Title,Default Title,,,,,IMP-HARRISON,0,shopify,0,deny,manual,0.00,,true,true,,https://irishfamilysurnames.com/wp-content/uploads/2021/04/harrison-B-H.jpg,1,Harrison,false,Harrison,Imported product — review before publishing.,g,,unlisted
hart,Hart,<p>Product details coming soon.</p>,Irish Family Surnames,,General,"imported, unlisted",false,Title,Default Title,,,,,IMP-HART,0,shopify,0,deny,manual,0.00,,true,true,,https://irishfamilysurnames.com/wp-content/uploads/2021/04/hart-B-H.jpg,1,Hart,false,Hart,Imported product — review before publishing.,g,,unlisted
harte,Harte,<p>Product details coming soon.</p>,Irish Family Surnames,,General,"imported, unlisted",false,Title,Default Title,,,,,IMP-HARTE,0,shopify,0,deny,manual,0.00,,true,true,,https://irishfamilysurnames.com/wp-content/uploads/2021/04/harte-B-H.jpg,1,Harte,false,Harte,Imported product — review before publishing.,g,,unlisted
hackett,Hackett,<p>Product details coming soon.</p>,Irish Family Surnames,,General,"imported, unlisted",false,Title,Default Title,,,,,IMP-HACKETT,0,shopify,0,deny,manual,0.00,,true,true,,https://irishfamilysurnames.com/wp-content/uploads/2021/04/hackett-B-H.jpg,1,Hackett,false,Hackett,Imported product — review before publishing.,g,,unlisted
hall,Hall,<p>Product details coming soon.</p>,Irish Family Surnames,,General,"imported, unlisted",false,Title,Default Title,,,,,IMP-HALL,0,shopify,0,deny,manual,0.00,,true,true,,https://irishfamilysurnames.com/wp-content/uploads/2021/04/hall-B-H.jpg,1,Hall,false,Hall,Imported product — review before publishing.,g,,unlisted
halloran,Halloran,<p>Product details coming soon.</p>,Irish Family Surnames,,General,"imported, unlisted",false,Title,Default Title,,,,,IMP-HALLORAN,0,shopify,0,deny,manual,0.00,,true,true,,https://irishfamilysurnames.com/wp-content/uploads/2021/04/halloran-B-H.jpg,1,Halloran,false,Halloran,Imported product — review before publishing.,g,,unlisted
hanley,Hanley,<p>Product details coming soon.</p>,Irish Family Surnames,,General,"imported, unlisted",false,Title,Default Title,,,,,IMP-HANLEY,0,shopify,0,deny,manual,0.00,,true,true,,https://irishfamilysurnames.com/wp-content/uploads/2021/04/hanley-B-H.jpg,1,Hanley,false,Hanley,Imported product — review before publishing.,g,,unlisted
hanlon,Hanlon,<p>Product details coming soon.</p>,Irish Family Surnames,,General,"imported, unlisted",false,Title,Default Title,,,,,IMP-HANLON,0,shopify,0,deny,manual,0.00,,true,true,,https://irishfamilysurnames.com/wp-content/uploads/2021/04/hanlon-B-H.jpg,1,Hanlon,false,Hanlon,Imported product — review before publishing.,g,,unlisted
hannon,Hannon,<p>Product details coming soon.</p>,Irish Family Surnames,,General,"imported, unlisted",false,Title,Default Title,,,,,IMP-HANNON,0,shopify,0,deny,manual,0.00,,true,true,,https://irishfamilysurnames.com/wp-content/uploads/2021/04/hannon-B-H.jpg,1,Hannon,false,Hannon,Imported product — review before publishing.,g,,unlisted
hara,Hara,<p>Product details coming soon.</p>,Irish Family Surnames,,General,"imported, unlisted",false,Title,Default Title,,,,,IMP-HARA,0,shopify,0,deny,manual,0.00,,true,true,,https://irishfamilysurnames.com/wp-content/uploads/2021/04/hara-B-H.jpg,1,Hara,false,Hara,Imported product — review before publishing.,g,,unlisted
