Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United States,Included / International,Price / International,Compare At Price / International,Status
decanter-presentation-box-with-4-glasses,Crystal and Pewter Decanter presentation box set with 4 glasses,"<h3>Product Code: P375</h3>
<p><strong>Crystal and Pewter Decanter Presentation Box Set with 4 Glasses</strong></p>
<ul>
<li>
<p><strong>Description</strong>: This exquisite presentation box set from Mullingar Pewter is the perfect gift for any occasion, from retirements and competitions to celebrations for the whiskey connoisseur in your life. The set includes a stylish crystal decanter and four matching glasses, all elegantly embellished with pewter designs.</p>
</li>
<li>
<p><strong>Features</strong>:</p>
<ul>
<li>
<strong>Decanter</strong>:
<ul>
<li>
<strong>Material</strong>: Made from lead-free crystal glass, ensuring a safe and clear display for your favorite spirits.</li>
<li>
<strong>Design</strong>: Embellished with Mullingar Pewter accents, adding a touch of elegance and sophistication.</li>
</ul>
</li>
<li>
<strong>Glasses</strong>:
<ul>
<li>
<strong>Quantity</strong>: Set of 4 glasses.</li>
<li>
<strong>Material</strong>: Also crafted from lead-free crystal glass and embellished with matching Mullingar Pewter details.</li>
</ul>
</li>
<li>
<strong>Presentation Box</strong>:
<ul>
<li>
<strong>Design</strong>: Comes in a distressed wood-effect box, enhancing its rustic charm and making it a beautiful keepsake.</li>
</ul>
</li>
<li>
<strong>Variations</strong>: Available in 4 different designs, offering a selection to match any taste or occasion.</li>
</ul>
</li>
<li>
<p><strong>Ideal for</strong>:</p>
<ul>
<li>
<strong>Retirements</strong>: A distinguished gift to honor years of dedication and hard work.</li>
<li>
<strong>Competitions</strong>: A prestigious award for winners and participants.</li>
<li>
<strong>Whiskey Lovers</strong>: Perfect for anyone who appreciates fine spirits and elegant presentation.</li>
</ul>
</li>
<li>
<p><strong>Handmade in Ireland</strong>: Each piece is crafted with care by skilled artisans, ensuring the highest quality and authenticity.</p>
</li>
<li>
<p><strong>Price</strong>: Includes shipping, making it a hassle-free and valuable gift option.</p>
</li>
<li>
<p><strong>Occasions</strong>: This set is ideal for a variety of special occasions and celebrations, adding a touch of Irish craftsmanship and elegance to any setting.</p>
</li>
</ul>
<hr>
<p>This Crystal and Pewter Decanter Presentation Box Set is more than just a gift; it’s a testament to quality craftsmanship and a stylish addition to any home or bar. Choose from four beautiful variations to find the perfect match for the special recipient.</p>
<p> </p>
<p><br></p>",Mullingar Pewter,,Drinkware,"brandy, celtic whisky, claddagh whiskey glass, decanter, general gift, gift, glass set, irish, Irish claddagh, irish gift, irish heritage, irish whiskey, irish whisky, jameson, pewter decanter, pewter whiskey flask, pewter whiskey measure, scottish, whiskey, whiskey set, WHISKEY SHOT, whisky, whisky glass, wine decanter, imported, unlisted",false,Style,Claddagh,,,,,P375 Claddagh,0,shopify,0,deny,manual,239.95,,true,false,,https://cdn.shopify.com/s/files/1/1565/2549/files/1687190758572.jpg?v=1691077363,1,Crystal and Pewter Decanter presentation box set with 4 glasses,false,Crystal and Pewter Decanter presentation box set with 4 glasses,"Product Code: P375 Crystal and Pewter Decanter Presentation Box Set with 4 Glasses Description: This exquisite presentation box set from Mullingar Pewter is the perfect gift for any occasion, from retirements and competitions to celebrations for the whiskey connoisseur in your life. The set includes a stylish crystal d",,,,,,,,,,,,,g,,,true,true,,,unlisted
decanter-presentation-box-with-4-glasses,,,,,,,false,,Shamrock,,,,,P375 Shamrock,0,shopify,0,deny,manual,239.95,,true,false,,,,,,,,,,,,,,,,,,,,g,,,,,,,unlisted
decanter-presentation-box-with-4-glasses,,,,,,,false,,T4,,,,,P375 T4,0,shopify,0,deny,manual,239.95,,true,false,,,,,,,,,,,,,,,,,,,,g,,,,,,,unlisted
decanter-presentation-box-with-4-glasses,,,,,,,false,,Celtic A Lg no.7,,,,,P375 Celtic A No. 7,0,shopify,0,deny,manual,239.95,,true,false,,,,,,,,,,,,,,,,,,,,g,,,,,,,unlisted
decanter-presentation-box-with-4-glasses,,,,,,,false,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1565/2549/files/1687190758465.jpg?v=1691076030,2,Crystal and Pewter Decanter presentation box set with 4 glasses,,,,,,,,,,,,,,,,,,,,,,,unlisted
decanter-presentation-box-with-4-glasses,,,,,,,false,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1565/2549/files/1687190758486.jpg?v=1691076030,3,Crystal and Pewter Decanter presentation box set with 4 glasses,,,,,,,,,,,,,,,,,,,,,,,unlisted
decanter-presentation-box-with-4-glasses,,,,,,,false,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1565/2549/files/1687190758594.jpg?v=1687191770,4,Crystal and Pewter Decanter presentation box set with 4 glasses,,,,,,,,,,,,,,,,,,,,,,,unlisted
decanter-presentation-box-with-4-glasses,,,,,,,false,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1565/2549/files/1691074057302.jpg?v=1691074980,5,Crystal and Pewter Decanter presentation box set with 4 glasses,,,,,,,,,,,,,,,,,,,,,,,unlisted
claddagh-gents-quartz-pocket-watch-and-cufflinks-set-price-includes-shipping,Claddagh Gents Quartz Pewter Pocket watch & Cufflinks set,"<p data-start=""148"" data-end=""236""><strong data-start=""148"" data-end=""236"">Product Code P370: Irish Claddagh Gents Quartz Pocket Watch &amp; Cufflinks Set – Pewter</strong></p>
<p data-start=""238"" data-end=""526"">Mark life’s special moments with this <strong data-start=""276"" data-end=""326"">Claddagh Pocket Watch &amp; Matching Cufflinks Set</strong>, a timeless Irish gift rich in meaning and tradition. Featuring the iconic <strong data-start=""402"" data-end=""453"">Claddagh symbol of love, loyalty and friendship</strong>, this elegant set is designed for the modern gentleman with Irish roots.</p>
<p data-start=""528"" data-end=""544""><strong data-start=""528"" data-end=""544"">Pocket Watch</strong></p>
<ul data-start=""545"" data-end=""738"">
<li data-start=""545"" data-end=""608"">
<p data-start=""547"" data-end=""608"">Features a finely embossed <strong data-start=""574"" data-end=""593"">Claddagh emblem</strong> on the cover</p>
</li>
<li data-start=""609"" data-end=""667"">
<p data-start=""611"" data-end=""667""><strong data-start=""611"" data-end=""630"">Quartz movement</strong> for accurate, reliable timekeeping</p>
</li>
<li data-start=""668"" data-end=""738"">
<p data-start=""670"" data-end=""738"">Crafted from premium <strong data-start=""691"" data-end=""707"">Irish pewter</strong> with a classic silver finish</p>
</li>
</ul>
<p data-start=""740"" data-end=""753""><strong data-start=""740"" data-end=""753"">Cufflinks</strong></p>
<ul data-start=""754"" data-end=""887"">
<li data-start=""754"" data-end=""812"">
<p data-start=""756"" data-end=""812"">Matching Claddagh design for a coordinated formal look</p>
</li>
<li data-start=""813"" data-end=""887"">
<p data-start=""815"" data-end=""887"">Made from high-quality pewter to complement the pocket watch perfectly</p>
</li>
</ul>
<p data-start=""889"" data-end=""1044""><strong data-start=""889"" data-end=""909"">Why it’s special</strong><br>The Claddagh is one of Ireland’s most enduring symbols, making this set a meaningful <strong data-start=""995"" data-end=""1015"">Irish men’s gift</strong> for someone truly important.</p>
<p data-start=""1046"" data-end=""1059""><strong data-start=""1046"" data-end=""1059"">Ideal for</strong></p>
<ul data-start=""1060"" data-end=""1228"">
<li data-start=""1060"" data-end=""1132"">
<p data-start=""1062"" data-end=""1132""><strong data-start=""1062"" data-end=""1074"">Weddings</strong> – Groom, Best Man, Groomsmen, Father of the Bride/Groom</p>
</li>
<li data-start=""1133"" data-end=""1153"">
<p data-start=""1135"" data-end=""1153""><strong data-start=""1135"" data-end=""1151"">Father’s Day</strong></p>
</li>
<li data-start=""1154"" data-end=""1193"">
<p data-start=""1156"" data-end=""1193""><strong data-start=""1156"" data-end=""1191"">Birthdays &amp; milestone occasions</strong></p>
</li>
<li data-start=""1194"" data-end=""1228"">
<p data-start=""1196"" data-end=""1228""><strong data-start=""1196"" data-end=""1228"">Graduations &amp; service awards</strong></p>
</li>
</ul>
<p data-start=""1230"" data-end=""1324""><strong data-start=""1230"" data-end=""1253"">Handmade in Ireland</strong> by skilled craftspeople<br data-start=""1277"" data-end=""1280""><strong data-start=""1280"" data-end=""1324"">Worldwide shipping included in the price</strong></p>
<p data-start=""1326"" data-end=""1455"">A refined and symbolic gift that blends <strong data-start=""1366"" data-end=""1418"">Irish heritage, craftsmanship and timeless style</strong> — a piece to be treasured for years.</p>",Mullingar Pewter,,Gifts for Men,"21st, 40th, 50th, best man, birthday, celtic, claddagh, cufflinks, fathers day, general gift, general gifts, gents pewter cufflinks, gents pewter pocket watch, gents pewter watch, gift, groomsman, Heritage, irish, mechanical watch, men, pewter, pewter celtic watch, pewter pocket watch, pewter quartz watch, pewter silver, pewter silver cufflinks, pewter silver pocket watch, pewter silver watch, pocket watch, pocket watches, sports, watch, watches, wedding, wedding gifts, imported, unlisted",false,Title,Default Title,,,,,P370 Claddagh with cufflinks,0,shopify,0,deny,manual,71.95,,true,false,,https://cdn.shopify.com/s/files/1/1565/2549/products/IMG_20210621_092539.jpg?v=1642690257,1,Claddagh Gents Quartz Pewter Pocket watch & Cufflinks set,false,Claddagh Gents Quartz Pewter Pocket watch & Cufflinks set,"Product Code P370: Irish Claddagh Gents Quartz Pocket Watch & Cufflinks Set – Pewter Mark life’s special moments with this Claddagh Pocket Watch & Matching Cufflinks Set, a timeless Irish gift rich in meaning and tradition. Featuring the iconic Claddagh symbol of love, loyalty and friendship, this elegant set is design",,,,,,,,,,,,,g,,,true,true,,,unlisted
claddagh-gents-quartz-pocket-watch-and-cufflinks-set-price-includes-shipping,,,,,,,false,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1565/2549/products/CLADDAGHQUARTZGENTSPOCKETWATCHANDCUFFLINKSSET.jpg?v=1624446202,2,Claddagh Gents Quartz Pewter Pocket watch & Cufflinks set,,,,,,,,,,,,,,,,,,,,,,,unlisted
