Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United States,Included / International,Price / International,Compare At Price / International,Status
harrison,Family name History & Crest Plaques - Harrison,"<p>Learn the full history of your family with a Family History or a Crest/History Combination.</p><p>Family History Standard : 16 x 20 cm | 6 x 8 inches. €9.90</p><p>Family History Large : 20 x 26 cm | 8 x 10 inches. €12.50</p><p>Family Combination (History &amp;amp;amp; Crest) : 26 x 20 cm | 10 x 8 inches.€14.95</p><p>Family Histories and Family Combinations are supplied mounted and ready to frame.<br/>FREE WORLDWIDE POSTAGE</p>",Irish Family Surnames,,General,"Heraldic Irish Family Names, Gifts under €25, Surname H",true,Title,Default Title,,,,,1242,0,shopify,20,deny,manual,12.45,,true,true,,https://irishfamilysurnames.com/wp-content/uploads/2021/04/harrison-B-H.jpg,1,Harrison,false,Family name History & Crest Plaques - Harrison,Learn the full history of your family with a Family History or a Crest/History Combination. Family History Standard : 16 x 20 cm | 6 x 8 inches. €9.90 Family History Large : 20 x 26 cm | 8 x 10 inches. €12.50 Family Combination (History &amp; Crest) : 26 x 20 cm | 10 x 8 inches.€14.95 Family Histories and Family Combin,,,,,,,,,,,,,g,,,true,true,,,active
harrison,,,,,,,true,,,,,,,,,,,,,,,,,,https://irishfamilysurnames.com/wp-content/uploads/2021/03/irishfamilysurnameslogo2.jpg,2,Harrison,,,,,,,,,,,,,,,,,,,,,,,active
harrison,,,,,,,true,,,,,,,,,,,,,,,,,,https://irishfamilysurnames.com/wp-content/uploads/2021/04/hogan-B-H-300x375.jpg,3,Harrison,,,,,,,,,,,,,,,,,,,,,,,active
harrison,,,,,,,true,,,,,,,,,,,,,,,,,,https://irishfamilysurnames.com/wp-content/uploads/2021/04/heffernan-B-H-300x375.jpg,4,Harrison,,,,,,,,,,,,,,,,,,,,,,,active
harrison,,,,,,,true,,,,,,,,,,,,,,,,,,https://irishfamilysurnames.com/wp-content/uploads/2021/04/hughes-B-H-300x375.jpg,5,Harrison,,,,,,,,,,,,,,,,,,,,,,,active
hart,Family name History & Crest Plaques - Hart,"<p>Learn the full history of your family with a Family History or a Crest/History Combination.</p><p>Family History Standard : 16 x 20 cm | 6 x 8 inches. €9.90</p><p>Family History Large : 20 x 26 cm | 8 x 10 inches. €12.50</p><p>Family Combination (History &amp;amp;amp; Crest) : 26 x 20 cm | 10 x 8 inches.€14.95</p><p>Family Histories and Family Combinations are supplied mounted and ready to frame.<br/>FREE WORLDWIDE POSTAGE</p>",Irish Family Surnames,,General,"Heraldic Irish Family Names, Gifts under €25, Surname H",true,Title,Default Title,,,,,1249,0,shopify,20,deny,manual,12.45,,true,true,,https://irishfamilysurnames.com/wp-content/uploads/2021/04/hart-B-H.jpg,1,Hart,false,Family name History & Crest Plaques - Hart,Learn the full history of your family with a Family History or a Crest/History Combination. Family History Standard : 16 x 20 cm | 6 x 8 inches. €9.90 Family History Large : 20 x 26 cm | 8 x 10 inches. €12.50 Family Combination (History &amp; Crest) : 26 x 20 cm | 10 x 8 inches.€14.95 Family Histories and Family Combin,,,,,,,,,,,,,g,,,true,true,,,active
hart,,,,,,,true,,,,,,,,,,,,,,,,,,https://irishfamilysurnames.com/wp-content/uploads/2021/03/irishfamilysurnameslogo2.jpg,2,Hart,,,,,,,,,,,,,,,,,,,,,,,active
hart,,,,,,,true,,,,,,,,,,,,,,,,,,https://irishfamilysurnames.com/wp-content/uploads/2021/04/harris-B-H-1-300x375.jpg,3,Hart,,,,,,,,,,,,,,,,,,,,,,,active
hart,,,,,,,true,,,,,,,,,,,,,,,,,,https://irishfamilysurnames.com/wp-content/uploads/2021/04/hynes-B-H-300x375.jpg,4,Hart,,,,,,,,,,,,,,,,,,,,,,,active
hart,,,,,,,true,,,,,,,,,,,,,,,,,,https://irishfamilysurnames.com/wp-content/uploads/2021/04/heffernan-B-H-300x375.jpg,5,Hart,,,,,,,,,,,,,,,,,,,,,,,active
harte,Family name History & Crest Plaques - Harte,"<p>Learn the full history of your family with a Family History or a Crest/History Combination.</p><p>Family History Standard : 16 x 20 cm | 6 x 8 inches. €9.90</p><p>Family History Large : 20 x 26 cm | 8 x 10 inches. €12.50</p><p>Family Combination (History &amp;amp;amp; Crest) : 26 x 20 cm | 10 x 8 inches.€14.95</p><p>Family Histories and Family Combinations are supplied mounted and ready to frame.<br/>FREE WORLDWIDE POSTAGE</p>",Irish Family Surnames,,General,"Heraldic Irish Family Names, Gifts under €25, Surname H",true,Title,Default Title,,,,,1256,0,shopify,20,deny,manual,12.45,,true,true,,https://irishfamilysurnames.com/wp-content/uploads/2021/04/harte-B-H.jpg,1,Harte,false,Family name History & Crest Plaques - Harte,Learn the full history of your family with a Family History or a Crest/History Combination. Family History Standard : 16 x 20 cm | 6 x 8 inches. €9.90 Family History Large : 20 x 26 cm | 8 x 10 inches. €12.50 Family Combination (History &amp; Crest) : 26 x 20 cm | 10 x 8 inches.€14.95 Family Histories and Family Combin,,,,,,,,,,,,,g,,,true,true,,,active
harte,,,,,,,true,,,,,,,,,,,,,,,,,,https://irishfamilysurnames.com/wp-content/uploads/2021/03/irishfamilysurnameslogo2.jpg,2,Harte,,,,,,,,,,,,,,,,,,,,,,,active
