Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United States,Included / International,Price / International,Compare At Price / International,Status
harrison,Harrison Family name History & Crest Plaques,<p>Learn the full history of your family with a Family History or a Crest/History Combination.</p><p>Family History Standard : 16 x 20 cm | 6 x 8 inches.&nbsp;</p><p>Family Histories and Family Combinations are supplied mounted and ready to frame.</p>,Irish Family Surnames,Home & Garden > Decor > Decorative Plaques,Decorative Plaques,"Heraldic Irish Family Names, Gifts under €25, Surname H",true,Plaque size,Standard,,,,,1242,0.05,shopify,20,deny,manual,12.45,,true,false,,https://irishfamilysurnames.com/wp-content/uploads/2021/04/harrison-B-H.jpg,1,Harrison,false,Harrison Family name History & Crest Plaques,Learn the full history of your family with a Family History or a Crest/History Combination. Family History Standard : 16 x 20 cm | 6 x 8 inches. Family Histories and Family Combinations are supplied mounted and ready to frame.,,,,,,,,,,,,,g,,,true,true,,,active
hart,Hart Family name History & Crest Plaques,<p>Learn the full history of your family with a Family History or a Crest/History Combination.</p><p>Family History Standard : 16 x 20 cm | 6 x 8 inches.&nbsp;</p><p>Family Histories and Family Combinations are supplied mounted and ready to frame.</p>,Irish Family Surnames,Home & Garden > Decor > Decorative Plaques,Decorative Plaques,"Heraldic Irish Family Names, Gifts under €25, Surname H",true,Plaque size,Standard,,,,,1249,0.05,shopify,20,deny,manual,12.45,,true,false,,https://irishfamilysurnames.com/wp-content/uploads/2021/04/hart-B-H.jpg,1,Hart,false,Hart Family name History & Crest Plaques,Learn the full history of your family with a Family History or a Crest/History Combination. Family History Standard : 16 x 20 cm | 6 x 8 inches. Family Histories and Family Combinations are supplied mounted and ready to frame.,,,,,,,,,,,,,g,,,true,true,,,active
harte,Harte Family name History & Crest Plaques,<p>Learn the full history of your family with a Family History or a Crest/History Combination.</p><p>Family History Standard : 16 x 20 cm | 6 x 8 inches.&nbsp;</p><p>Family Histories and Family Combinations are supplied mounted and ready to frame.</p>,Irish Family Surnames,Home & Garden > Decor > Decorative Plaques,Decorative Plaques,"Heraldic Irish Family Names, Gifts under €25, Surname H",true,Plaque size,Standard,,,,,1256,0.05,shopify,20,deny,manual,12.45,,true,false,,https://irishfamilysurnames.com/wp-content/uploads/2021/04/harte-B-H.jpg,1,Harte,false,Harte Family name History & Crest Plaques,Learn the full history of your family with a Family History or a Crest/History Combination. Family History Standard : 16 x 20 cm | 6 x 8 inches. Family Histories and Family Combinations are supplied mounted and ready to frame.,,,,,,,,,,,,,g,,,true,true,,,active
hackett,Hackett Family name History & Crest Plaques,<p>Learn the full history of your family with a Family History or a Crest/History Combination.</p><p>Family History Standard : 16 x 20 cm | 6 x 8 inches.&nbsp;</p><p>Family Histories and Family Combinations are supplied mounted and ready to frame.</p>,Irish Family Surnames,Home & Garden > Decor > Decorative Plaques,Decorative Plaques,"Heraldic Irish Family Names, Gifts under €25, Surname H",true,Plaque size,Standard,,,,,1102,0.05,shopify,20,deny,manual,12.45,,true,false,,https://irishfamilysurnames.com/wp-content/uploads/2021/04/hackett-B-H.jpg,1,Hackett,false,Hackett Family name History & Crest Plaques,Learn the full history of your family with a Family History or a Crest/History Combination. Family History Standard : 16 x 20 cm | 6 x 8 inches. Family Histories and Family Combinations are supplied mounted and ready to frame.,,,,,,,,,,,,,g,,,true,true,,,active
hall,Hall Family name History & Crest Plaques,<p>Learn the full history of your family with a Family History or a Crest/History Combination.</p><p>Family History Standard : 16 x 20 cm | 6 x 8 inches.&nbsp;</p><p>Family Histories and Family Combinations are supplied mounted and ready to frame.</p>,Irish Family Surnames,Home & Garden > Decor > Decorative Plaques,Decorative Plaques,"Heraldic Irish Family Names, Gifts under €25, Surname H",true,Plaque size,Standard,,,,,1126,0.05,shopify,20,deny,manual,12.45,,true,false,,https://irishfamilysurnames.com/wp-content/uploads/2021/04/hall-B-H.jpg,1,Hall,false,Hall Family name History & Crest Plaques,Learn the full history of your family with a Family History or a Crest/History Combination. Family History Standard : 16 x 20 cm | 6 x 8 inches. Family Histories and Family Combinations are supplied mounted and ready to frame.,,,,,,,,,,,,,g,,,true,true,,,active
halloran,Halloran Family name History & Crest Plaques,<p>Learn the full history of your family with a Family History or a Crest/History Combination.</p><p>Family History Standard : 16 x 20 cm | 6 x 8 inches.&nbsp;</p><p>Family Histories and Family Combinations are supplied mounted and ready to frame.</p>,Irish Family Surnames,Home & Garden > Decor > Decorative Plaques,Decorative Plaques,"Heraldic Irish Family Names, Gifts under €25, Surname H",true,Plaque size,Standard,,,,,1137,0.05,shopify,20,deny,manual,12.45,,true,false,,https://irishfamilysurnames.com/wp-content/uploads/2021/04/halloran-B-H.jpg,1,Halloran,false,Halloran Family name History & Crest Plaques,Learn the full history of your family with a Family History or a Crest/History Combination. Family History Standard : 16 x 20 cm | 6 x 8 inches. Family Histories and Family Combinations are supplied mounted and ready to frame.,,,,,,,,,,,,,g,,,true,true,,,active
hanley,Hanley Family name History & Crest Plaques,<p>Learn the full history of your family with a Family History or a Crest/History Combination.</p><p>Family History Standard : 16 x 20 cm | 6 x 8 inches.&nbsp;</p><p>Family Histories and Family Combinations are supplied mounted and ready to frame.</p>,Irish Family Surnames,Home & Garden > Decor > Decorative Plaques,Decorative Plaques,"Heraldic Irish Family Names, Gifts under €25, Surname H",true,Plaque size,Standard,,,,,1148,0.05,shopify,20,deny,manual,12.45,,true,false,,https://irishfamilysurnames.com/wp-content/uploads/2021/04/hanley-B-H.jpg,1,Hanley,false,Hanley Family name History & Crest Plaques,Learn the full history of your family with a Family History or a Crest/History Combination. Family History Standard : 16 x 20 cm | 6 x 8 inches. Family Histories and Family Combinations are supplied mounted and ready to frame.,,,,,,,,,,,,,g,,,true,true,,,active
hanlon,Hanlon Family name History & Crest Plaques,<p>Learn the full history of your family with a Family History or a Crest/History Combination.</p><p>Family History Standard : 16 x 20 cm | 6 x 8 inches.&nbsp;</p><p>Family Histories and Family Combinations are supplied mounted and ready to frame.</p>,Irish Family Surnames,Home & Garden > Decor > Decorative Plaques,Decorative Plaques,"Heraldic Irish Family Names, Gifts under €25, Surname H",true,Plaque size,Standard,,,,,1159,0.05,shopify,20,deny,manual,12.45,,true,false,,https://irishfamilysurnames.com/wp-content/uploads/2021/04/hanlon-B-H.jpg,1,Hanlon,false,Hanlon Family name History & Crest Plaques,Learn the full history of your family with a Family History or a Crest/History Combination. Family History Standard : 16 x 20 cm | 6 x 8 inches. Family Histories and Family Combinations are supplied mounted and ready to frame.,,,,,,,,,,,,,g,,,true,true,,,active
hannon,Hannon Family name History & Crest Plaques,<p>Learn the full history of your family with a Family History or a Crest/History Combination.</p><p>Family History Standard : 16 x 20 cm | 6 x 8 inches.&nbsp;</p><p>Family Histories and Family Combinations are supplied mounted and ready to frame.</p>,Irish Family Surnames,Home & Garden > Decor > Decorative Plaques,Decorative Plaques,"Heraldic Irish Family Names, Gifts under €25, Surname H",true,Plaque size,Standard,,,,,1181,0.05,shopify,20,deny,manual,12.45,,true,false,,https://irishfamilysurnames.com/wp-content/uploads/2021/04/hannon-B-H.jpg,1,Hannon,false,Hannon Family name History & Crest Plaques,Learn the full history of your family with a Family History or a Crest/History Combination. Family History Standard : 16 x 20 cm | 6 x 8 inches. Family Histories and Family Combinations are supplied mounted and ready to frame.,,,,,,,,,,,,,g,,,true,true,,,active
hara,Hara Family name History & Crest Plaques,<p>Learn the full history of your family with a Family History or a Crest/History Combination.</p><p>Family History Standard : 16 x 20 cm | 6 x 8 inches.&nbsp;</p><p>Family Histories and Family Combinations are supplied mounted and ready to frame.</p>,Irish Family Surnames,Home & Garden > Decor > Decorative Plaques,Decorative Plaques,"Heraldic Irish Family Names, Gifts under €25, Surname H",true,Plaque size,Standard,,,,,1198,0.05,shopify,20,deny,manual,12.45,,true,false,,https://irishfamilysurnames.com/wp-content/uploads/2021/04/hara-B-H.jpg,1,Hara,false,Hara Family name History & Crest Plaques,Learn the full history of your family with a Family History or a Crest/History Combination. Family History Standard : 16 x 20 cm | 6 x 8 inches. Family Histories and Family Combinations are supplied mounted and ready to frame.,,,,,,,,,,,,,g,,,true,true,,,active
